created_date,party_key,status,action_codes,risk_rating,outcomes,explanations,risk_score,updated_date
2024-11-15 08:15:06.000,0a1c26f0-cf93-4ab8-8326-ce6d224c1bbe,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-15 08:15:06.000
2025-01-22 17:05:20.000,0a972bbd-2870-4837-b847-fe3ac6fe7777,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-22 17:05:20.000
2024-07-15 07:47:31.000,0ba7f707-e075-4a2a-b253-b2899a7aa070,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-07-15 07:47:31.000
2024-09-20 05:02:38.000,0c08804d-b76d-4e72-850e-da0395760ed5,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-20 05:02:38.000
2024-11-14 04:57:00.000,0c288adf-a608-41c4-b02c-3dbf5e99806f,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-14 04:57:00.000
2025-01-17 11:56:28.000,0c3ed2f7-afca-48ae-a850-54a586e41bf8,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-17 11:56:28.000
2024-11-05 14:04:58.000,0c467a8b-1db5-4900-a90d-ecc2015e50ce,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-05 14:04:58.000
2024-11-05 09:52:16.000,0cc1bb15-ccaa-4ee7-9f1a-02645e7dfa31,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-05 09:52:16.000
2024-08-15 08:02:29.000,0cda3e06-36db-4f9f-9af8-da1b0a5ea1fe,ok,[],High Risk,"{rca=no match, account_opening_decision=review, risk_scoring_decision=true, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=true, internal_lists=no match",[],793,2024-08-15 08:02:29.000
2024-11-25 08:36:27.000,0cddd9df-fdda-4a21-b6f8-641f0027ed5c,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-25 08:36:27.000
