metadata_event_type,metadata_event_type_key_name,metadata_event_metadata_version,id,status,type,expires_at,activated_at,ordered_at,effective_from,canceled_at,cancelation_reason,created_at,updated_at,replacement_reason,replacement_for,replacement_by,subscription_key,party_key,card_product_id
INSERT,cardId,1.0.0,2decd138-b79a-4c55-a9c9-33e97f3e44df,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 20:49:59.723,2023-12-13 20:49:59.723,,,,24244339-bc90-4914-a4bb-780d4be12b4f,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,d0f91493-b027-4910-a5de-e0b0d36a2865,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:18:07.165,2023-12-13 18:18:07.165,2023-12-13,,,2023-12-13 18:18:01.504,2023-12-13 18:18:07.291,,,,f9079c33-a44c-4825-924d-fa62a386f300,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,36d747d3-7619-4cec-b192-90dd29721852,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 19:50:54.393,2023-12-13 19:50:54.393,2023-12-13,,,2023-12-13 19:50:42.559,2023-12-13 19:50:54.420,,,,1bee002c-65a9-434e-ad89-26a6343bb1c0,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,8a66076f-d9af-4069-96eb-e368c96f2943,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:37:58.024,2023-12-13 18:37:58.024,,,,6501267d-81c4-41d8-93a6-c1a7567f68a1,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,ed136ba9-b4d4-410d-bcdc-f1474c80a17b,NEW,VIRTUAL,,,,2023-09-07,,,2023-09-07 07:23:17.181,2023-09-07 07:23:17.181,,,,aeadf5a3-2d9c-46a6-aed3-b48b68cf2742,0042a796-5342-4e10-8c26-f3cd5cd01995,9b19c035-031f-47a9-8568-b5fa8212d0c9
UPDATE,cardId,1.0.0,1974d494-441b-45e4-bb1b-3ab735d58462,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:20:57.169,2023-12-13 18:20:57.169,2023-12-13,,,2023-12-13 18:20:52.849,2023-12-13 18:20:57.214,,,,15747fac-d702-40bb-b994-8a8fcd140e7a,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,71d99304-a212-48fe-b688-865fb24b2688,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:23:36.467,2023-12-13 18:23:36.467,,,,60b5623e-d0fa-4742-be93-8e1706765806,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,5d204494-9999-4db9-addc-d1dbb254c000,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 21:53:54.939,2023-12-13 21:53:54.939,,,,cbba9fad-28e2-4e10-a08f-af5ec83adf0f,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,7259ea80-f701-4c54-86b3-75a6c454725a,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 19:03:13.965,2023-12-13 19:03:13.965,,,,f014eacd-73cd-43c0-a430-7900422375d8,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,36d747d3-7619-4cec-b192-90dd29721852,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 19:50:42.559,2023-12-13 19:50:42.559,,,,1bee002c-65a9-434e-ad89-26a6343bb1c0,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
